0 0 0 -1  鬼0 无将 胡了
0 2 0 1111  鬼2 无将 胡东胡南胡西胡北
0 2 1 -1  鬼2 有将 胡了
0 4 1 1111  鬼4 有将 胡东胡南胡西胡北
0 1 1 1111  鬼1 有将 胡东胡南胡西胡北
0 3 0 -1  鬼3 无将 胡了
4130 3 0 111 东东东东南西西西 鬼3 无将 胡南胡西胡北
4130 3 1 -1 东东东东南西西西 鬼3 有将 胡了
3104 0 1 -1 东东东南北北北北 鬼0 有将 胡了
4131 4 1 111 东东东东南西西西北 鬼4 有将 胡南胡西胡北
4122 0 0 -1 东东东东南西西北北 鬼0 无将 胡了
4131 1 1 111 东东东东南西西西北 鬼1 有将 胡南胡西胡北
3104 2 1 1110 东东东南北北北北 鬼2 有将 胡东胡南胡西
3104 4 0 -1 东东东南北北北北 鬼4 无将 胡了
3104 1 0 -1 东东东南北北北北 鬼1 无将 胡了
3104 3 0 1110 东东东南北北北北 鬼3 无将 胡东胡南胡西
4131 3 0 -1 东东东东南西西西北 鬼3 无将 胡了
4122 2 0 111 东东东东南西西北北 鬼2 无将 胡南胡西胡北
3104 3 1 -1 东东东南北北北北 鬼3 有将 胡了
4122 2 1 -1 东东东东南西西北北 鬼2 有将 胡了
4122 4 1 111 东东东东南西西北北 鬼4 有将 胡南胡西胡北
4122 1 1 111 东东东东南西西北北 鬼1 有将 胡南胡西胡北
4122 3 0 -1 东东东东南西西北北 鬼3 无将 胡了
3110 0 0 1001 东东东南西 鬼0 无将 胡东胡北
3110 0 1 -1 东东东南西 鬼0 有将 胡了
3110 2 1 1111 东东东南西 鬼2 有将 胡东胡南胡西胡北
3110 4 0 -1 东东东南西 鬼4 无将 胡了
3110 1 0 -1 东东东南西 鬼1 无将 胡了
3110 3 0 1111 东东东南西 鬼3 无将 胡东胡南胡西胡北
3110 3 1 -1 东东东南西 鬼3 有将 胡了
4134 0 0 -1 东东东东南西西西北北北北 鬼0 无将 胡了
4134 2 0 110 东东东东南西西西北北北北 鬼2 无将 胡南胡西
41 0 0 1100 西西西西北 鬼0 无将 胡东胡南
41 2 1 1101 西西西西北 鬼2 有将 胡东胡南胡北
41 4 0 -1 西西西西北 鬼4 无将 胡了
4134 2 1 -1 东东东东南西西西北北北北 鬼2 有将 胡了
41 1 0 -1 西西西西北 鬼1 无将 胡了
4134 1 1 110 东东东东南西西西北北北北 鬼1 有将 胡南胡西
41 3 0 1101 西西西西北 鬼3 无将 胡东胡南胡北
41 3 1 -1 西西西西北 鬼3 有将 胡了
3111 0 0 -1 东东东南西北 鬼0 无将 胡了
40 2 0 -1 西西西西 鬼2 无将 胡了
3111 2 0 1111 东东东南西北 鬼2 无将 胡东胡南胡西胡北
3111 2 1 -1 东东东南西北 鬼2 有将 胡了
40 4 0 1101 西西西西 鬼4 无将 胡东胡南胡北
3111 4 1 1111 东东东南西北 鬼4 有将 胡东胡南胡西胡北
3111 1 1 1111 东东东南西北 鬼1 有将 胡东胡南胡西胡北
40 4 1 -1 西西西西 鬼4 有将 胡了
3111 3 0 -1 东东东南西北 鬼3 无将 胡了
40 1 0 1101 西西西西 鬼1 无将 胡东胡南胡北
40 3 1 1101 西西西西 鬼3 有将 胡东胡南胡北
42 2 0 1101 西西西西北北 鬼2 无将 胡东胡南胡北
42 2 1 -1 西西西西北北 鬼2 有将 胡了
42 4 1 1101 西西西西北北 鬼4 有将 胡东胡南胡北
42 1 1 1101 西西西西北北 鬼1 有将 胡东胡南胡北
42 3 0 -1 西西西西北北 鬼3 无将 胡了
4133 0 0 111 东东东东南西西西北北北 鬼0 无将 胡南胡西胡北
4133 0 1 -1 东东东东南西西西北北北 鬼0 有将 胡了
4133 2 1 111 东东东东南西西西北北北 鬼2 有将 胡南胡西胡北
4133 1 0 -1 东东东东南西西西北北北 鬼1 无将 胡了
4133 3 0 111 东东东东南西西西北北北 鬼3 无将 胡南胡西胡北
4133 3 1 -1 东东东东南西西西北北北 鬼3 有将 胡了
43 0 1 1100 西西西西北北北 鬼0 有将 胡东胡南
43 2 0 -1 西西西西北北北 鬼2 无将 胡了
43 4 0 1101 西西西西北北北 鬼4 无将 胡东胡南胡北
43 4 1 -1 西西西西北北北 鬼4 有将 胡了
43 1 0 1101 西西西西北北北 鬼1 无将 胡东胡南胡北
43 1 1 -1 西西西西北北北 鬼1 有将 胡了
43 3 1 1101 西西西西北北北 鬼3 有将 胡东胡南胡北
3112 0 1 1111 东东东南西北北 鬼0 有将 胡东胡南胡西胡北
3112 2 0 -1 东东东南西北北 鬼2 无将 胡了
3112 4 0 1111 东东东南西北北 鬼4 无将 胡东胡南胡西胡北
3112 4 1 -1 东东东南西北北 鬼4 有将 胡了
3112 1 0 1111 东东东南西北北 鬼1 无将 胡东胡南胡西胡北
3112 1 1 -1 东东东南西北北 鬼1 有将 胡了
3112 3 1 1111 东东东南西北北 鬼3 有将 胡东胡南胡西胡北
44 0 0 1100 西西西西北北北北 鬼0 无将 胡东胡南
44 2 1 1100 西西西西北北北北 鬼2 有将 胡东胡南
44 4 0 -1 西西西西北北北北 鬼4 无将 胡了
44 1 0 -1 西西西西北北北北 鬼1 无将 胡了
44 3 0 1100 西西西西北北北北 鬼3 无将 胡东胡南
44 3 1 -1 西西西西北北北北 鬼3 有将 胡了
4140 0 0 -1 东东东东南西西西西 鬼0 无将 胡了
4132 0 1 111 东东东东南西西西北北 鬼0 有将 胡南胡西胡北
4140 2 0 101 东东东东南西西西西 鬼2 无将 胡南胡北
4132 2 0 -1 东东东东南西西西北北 鬼2 无将 胡了
4132 4 0 111 东东东东南西西西北北 鬼4 无将 胡南胡西胡北
4140 2 1 -1 东东东东南西西西西 鬼2 有将 胡了
4132 4 1 -1 东东东东南西西西北北 鬼4 有将 胡了
4140 4 1 101 东东东东南西西西西 鬼4 有将 胡南胡北
4132 1 0 111 东东东东南西西西北北 鬼1 无将 胡南胡西胡北
4132 1 1 -1 东东东东南西西西北北 鬼1 有将 胡了
4140 1 1 101 东东东东南西西西西 鬼1 有将 胡南胡北
4140 3 0 -1 东东东东南西西西西 鬼3 无将 胡了
4132 3 1 111 东东东东南西西西北北 鬼3 有将 胡南胡西胡北
3113 0 0 1111 东东东南西北北北 鬼0 无将 胡东胡南胡西胡北
3113 0 1 -1 东东东南西北北北 鬼0 有将 胡了
3113 2 1 1111 东东东南西北北北 鬼2 有将 胡东胡南胡西胡北
3113 4 0 -1 东东东南西北北北 鬼4 无将 胡了
3113 1 0 -1 东东东南西北北北 鬼1 无将 胡了
3113 3 0 1111 东东东南西北北北 鬼3 无将 胡东胡南胡西胡北
4144 0 1 100 东东东东南西西西西北北北北 鬼0 有将 胡南
3113 3 1 -1 东东东南西北北北 鬼3 有将 胡了
4144 1 0 100 东东东东南西西西西北北北北 鬼1 无将 胡南
4144 1 1 -1 东东东东南西西西西北北北北 鬼1 有将 胡了
3114 0 0 -1 东东东南西北北北北 鬼0 无将 胡了
3114 2 0 1110 东东东南西北北北北 鬼2 无将 胡东胡南胡西
3114 2 1 -1 东东东南西北北北北 鬼2 有将 胡了
3114 4 1 1110 东东东南西北北北北 鬼4 有将 胡东胡南胡西
3114 1 1 1110 东东东南西北北北北 鬼1 有将 胡东胡南胡西
3114 3 0 -1 东东东南西北北北北 鬼3 无将 胡了
3120 2 0 1111 东东东南西西 鬼2 无将 胡东胡南胡西胡北
3120 2 1 -1 东东东南西西 鬼2 有将 胡了
3120 4 1 1111 东东东南西西 鬼4 有将 胡东胡南胡西胡北
